id	rate
20019	19.1
20021	19.5
20023	21.4
20025	19.6
20027	7.7
20029	14.8
20031	16.1
20033	32.2
20035	12.8
20037	6
20039	11.3
20041	12.4
20043	7.3
20045	2.8
20047	16.3
20049	6.5
20051	2.9
20053	20.9
20055	26.7
20057	19.7
20059	10.9
20061	8
20063	8.7
20065	19.2
20067	37.8
20069	33.5
20071	4.8
20073	8.6
20075	25.1
20077	17.1
20079	13
20081	38
20083	24.5
20085	23.4
20087	16
20089	6.3
20091	11.5
20093	30
20095	10.3
20097	8.5
20099	15
20101	25.2
20103	13.3
20105	11.2
20107	20.6
20109	27.5
20111	9.3
20113	15.9
20115	15.2
20117	16.9
20119	28.1
20121	14.5
20123	16.5
20125	17.3
20127	20.8
20129	21.1
20131	13.6
20133	9.4
20135	31.1
20137	25.1
20139	15.7
20141	18
20143	17.1
20145	26
20147	33.2
20149	9.2
20151	11.9
20153	29.1
20155	20.2
20157	20.2
20159	20.5
20161	2.5
20163	12.6
20165	22
20167	25.2
20169	14.5
20171	21
20173	15.4
20175	25.7
20177	15.8
20179	6.7
20181	25.6
20183	10
20185	25.3
20187	21.3
20189	38.7
20191	20.4
20193	12.2
20195	3.4
20197	10.8
20199	25.6
20201	14.8
20203	36.9
20205	20
20207	7.8
20209	24.7
21001	9.5
21003	20.8
21005	15.4
21007	8.7
21009	20.7
21011	22.4
21013	20.6
21015	13
21017	16.7
21019	22.2
21021	10.8
21023	22.3
21025	19.9
21027	23.1
21029	10.7
21031	29
21033	7.7
21035	2.5
21037	9.4
21039	15
21041	18.5
21043	14.4
21045	17.9
21047	12.2
21049	13.7
21051	30.4
21053	20.7
21055	17.9
21057	35.6
21059	11.3
21061	19.8
21063	21.8
21065	14.8
21067	7.3
21069	19.6
21071	16.2
21073	11.7
21075	26.2
21077	12.7
21079	19.3
21081	10.5
21083	15.7
21085	18.3
21087	20.9
21089	10.7
21091	12.3
21093	10
21095	27.7
21097	29.6
21099	35
21101	22
21103	26.4
21105	16.5
21107	17.1
21109	23
21111	15.2
21113	15.1
21115	20.6
21117	16.9
21119	17.4
21121	20
21123	9.6
21125	16.1
21127	19.8
21129	32.8
21131	23.4
21133	24.7
21135	24.3
21137	14.9
21139	22.7
21141	20.3
21143	19.7
21145	17.2
21147	19
21149	13.6
21151	5.7
21153	13.1
21155	15.9
21157	23.5
21159	19.8
21161	18.3
21163	20.1
21165	14.4
21167	11.9
21169	17.7
21171	16.3
21173	21.7
21175	23.5
21177	20
21179	12.1
21181	21.9
21183	12.3
21185	17.4
21187	17
21189	33
21191	10.7
21193	23
21195	19.5
21197	30.1
21199	16
21201	5
21203	9.4
21205	9
21207	16.1
21209	15
21211	26.3
21213	17.2
21215	12.8
21217	9.6
21219	19.3
21221	15.1
21223	22.4
21225	29.8
21227	8
21229	14.8
21231	16.6
21233	17.5
21235	10.7
21237	9.2
21239	9.4
22001	24.6
22003	31.5
22005	14.4
22007	23.9
22009	34.2
22011	29.6
22013	20.3
22015	18.7
22017	22.2
22019	15.4
22021	26.3
22023	34
22025	35.1
22027	38.2
22029	26.8
22031	31
22033	12.8
22035	39.7
22037	32.8
22039	33.7
22041	29.2
22043	15.8
22045	23.5
22047	25.2
22049	30
22051	17.6
22053	28
22055	15.2
22057	17.8
22059	30.8
22061	12.4
22063	21.6
22065	32.4
22067	30.7
22069	16.7
22071	15.9
22073	17
22075	20.6
22077	34.2
22079	20.7
22081	19
22083	25.8
22085	21.8
22087	18.6
22089	21.7
22091	26.3
22093	26.1
22095	21.2
22097	26.8
22099	19.8
22101	24.1
